Country,Year,Value (kilotonne/kt),,Developing_countries,Development_countries,Sum_of_each_countries,Emission level,Latitude,Longitude
Australia,2019,416564,,139426882,72055637,4065899,6,-22.274398,133.775136
Australia,2018,415340,,,,,,,
Australia,2017,414598,,,,,,,
Australia,2016,410969,,,,,,,
Australia,2015,401499,,,,,,,
Australia,2014,393953,,,,,,,
Australia,2013,397888,,,,,,,
Australia,2012,406152,,,,,,,
Australia,2011,403830,,,,,,,
Australia,2010,405106,,,,,,,
,,,,,,,,,
Canada,2019,582390,,,,5706047,6.3,56.130366,-106.346771
Canada,2018,579470,,,,,,,
Canada,2017,569360,,,,,,,
Canada,2016,559567,,,,,,,
Canada,2015,573061,,,,,,,
Canada,2014,570563,,,,,,,
Canada,2013,573699,,,,,,,
Canada,2012,569263,,,,,,,
Canada,2011,569870,,,,,,,
Canada,2010,558804,,,,,,,
,,,,,,,,,
Netherlands,2019,153286,,,,1640974,5.1,52.132633,5.291266
Netherlands,2018,159096,,,,,,,
Netherlands,2017,162610,,,,,,,
Netherlands,2016,164925,,,,,,,
Netherlands,2015,164200,,,,,,,
Netherlands,2014,157663,,,,,,,
Netherlands,2013,164685,,,,,,,
Netherlands,2012,164700,,,,,,,
Netherlands,2011,168271,,,,,,,
Netherlands,2010,181538,,,,,,,
,,,,,,,,,
France,2019,332503,,,,3565092,5.4,46.227638,2.213749
France,2018,338990,,,,,,,
France,2017,353367,,,,,,,
France,2016,350067,,,,,,,
France,2015,345685,,,,,,,
France,2014,341529,,,,,,,
France,2013,372345,,,,,,,
France,2012,370714,,,,,,,
France,2011,368643,,,,,,,
France,2010,391249,,,,,,,
,,,,,,,,,
Brazil,2019,434300,,,,4526130,6.1,-14.235004,-51.92528
Brazil,2018,433990,,,,,,,
Brazil,2017,456490,,,,,,,
Brazil,2016,447080,,,,,,,
Brazil,2015,485340,,,,,,,
Brazil,2014,511620,,,,,,,
Brazil,2013,486840,,,,,,,
Brazil,2012,454230,,,,,,,
Brazil,2011,418310,,,,,,,
Brazil,2010,397930,,,,,,,
,,,,,,,,,
Russian ,2019,1703590,,,,16360540,7.9,61.52401,105.318756
Russian ,2018,1661000,,,,,,,
Russian ,2017,1594550,,,,,,,
Russian ,2016,1571520,,,,,,,
Russian ,2015,1592560,,,,,,,
Russian ,2014,1611960,,,,,,,
Russian ,2013,1632680,,,,,,,
Russian ,2012,1675760,,,,,,,
Russian ,2011,1699090,,,,,,,
Russian ,2010,1617830,,,,,,,
,,,,,,,,,
Japan,2019,1105881,,,,12229340,7.1,36.204824,138.252924
Japan,2018,1143458,,,,,,,
Japan,2017,1188123,,,,,,,
Japan,2016,1203718,,,,,,,
Japan,2015,1223396,,,,,,,
Japan,2014,1263729,,,,,,,
Japan,2013,1315343,,,,,,,
Japan,2012,1306010,,,,,,,
Japan,2011,1264866,,,,,,,
Japan,2010,1214816,,,,,,,
,,,,,,,,,
New Zealand,2019,37495,,,,356017,5,-40.900557,174.885971
New Zealand,2018,35789,,,,,,,
New Zealand,2017,35855,,,,,,,
New Zealand,2016,34305,,,,,,,
New Zealand,2015,36071,,,,,,,
New Zealand,2014,35531,,,,,,,
New Zealand,2013,35305,,,,,,,
New Zealand,2012,36138,,,,,,,
New Zealand,2011,34497,,,,,,,
New Zealand,2010,35031,,,,,,,
,,,,,,,,,
Turkey,2019,399345,,,,3741107,5.1,38.963745,35.243322
Turkey,2018,419437,,,,,,,
Turkey,2017,425329,,,,,,,
Turkey,2016,401240,,,,,,,
Turkey,2015,381332,,,,,,,
Turkey,2014,361675,,,,,,,
Turkey,2013,345221,,,,,,,
Turkey,2012,353666,,,,,,,
Turkey,2011,339482,,,,,,,
Turkey,2010,314380,,,,,,,
,,,,,,,,,
UK,2019,369730,,,,4352008,5.6,55.378051,-3.435973
UK,2018,382604,,,,,,,
UK,2017,388283,,,,,,,
UK,2016,400052,,,,,,,
UK,2015,423049,,,,,,,
UK,2014,439246,,,,,,,
UK,2013,478094,,,,,,,
UK,2012,488223,,,,,,,
UK,2011,470256,,,,,,,
UK,2010,512471,,,,,,,
,,,,,,,,,
USA,2019,5255816,,,,54010574,8.5,37.09024,-95.712891
USA,2018,5375491,,,,,,,
USA,2017,5207751,,,,,,,
USA,2016,5248024,,,,,,,
USA,2015,5371771,,,,,,,
USA,2014,5522807,,,,,,,
USA,2013,5474257,,,,,,,
USA,2012,5338698,,,,,,,
USA,2011,5540173,,,,,,,
USA,2010,5675786,,,,,,,
,,,,,,,,,
Ukraine,2019,222579,,,,2596291,5,48.379433,31.16558
Ukraine,2018,232033,,,,,,,
Ukraine,2017,223085,,,,,,,
Ukraine,2016,234006,,,,,,,
Ukraine,2015,223822,,,,,,,
Ukraine,2014,257509,,,,,,,
Ukraine,2013,297250,,,,,,,
Ukraine,2012,303976,,,,,,,
Ukraine,2011,307953,,,,,,,
Ukraine,2010,294078,,,,,,,
,,,,,,,,,
China,2019,10707220,,,,98332500,9,35.86166,104.195397
China,2018,10502930,,,,,,,
China,2017,10096010,,,,,,,
China,2016,9874660,,,,,,,
China,2015,9861100,,,,,,,
China,2014,10006670,,,,,,,
China,2013,9984570,,,,,,,
China,2012,9541870,,,,,,,
China,2011,9282550,,,,,,,
China,2010,8474920,,,,,,,
