REG_ID,Region,Variable,Time,Change Value,Indices,Trends,Real Price per sq.m($),Living space per capita sq.m
AUS,Australia,House Price Index,2011,-2.20%,85.5,40.1,6305.98,87
AUS,Australia,House Price Index,2012,-0.30%,83.3,,,
AUS,Australia,House Price Index,2013,6.60%,86.8,,,
AUS,Australia,House Price Index,2014,9.10%,93,,,
AUS,Australia,House Price Index,2015,9%,100,,,
AUS,Australia,House Price Index,2016,5.50%,104.6,,,
AUS,Australia,House Price Index,2017,8.30%,111.9,,,
AUS,Australia,House Price Index,2018,-1.40%,108.6,,,
AUS,Australia,House Price Index,2019,-4.10%,102.3,,,
AUS,Australia,House Price Index,2020,5.40%,106.8,,,
FRA,France,House Price Index,2011,5.70%,109.2,22.76,11960.86,43
FRA,France,House Price Index,2012,-0.50%,107.1,,,
FRA,France,House Price Index,2013,-1.90%,104.2,,,
FRA,France,House Price Index,2014,-1.50%,102.2,,,
FRA,France,House Price Index,2015,-1.30%,100,,,
FRA,France,House Price Index,2016,1.00%,100.7,,,
FRA,France,House Price Index,2017,3.20%,102.9,,,
FRA,France,House Price Index,2018,2.90%,104.3,,,
FRA,France,House Price Index,2019,3.30%,106.8,,,
FRA,France,House Price Index,2020,5.20%,111.6,,,
DEU,Germany,House Price Index,2011,3.50%,90.5,115.96,8110.81,55
DEU,Germany,House Price Index,2012,3.40%,92.3,,,
DEU,Germany,House Price Index,2013,3.10%,94,,,
DEU,Germany,House Price Index,2014,3.10%,96,,,
DEU,Germany,House Price Index,2015,4.70%,100,,,
DEU,Germany,House Price Index,2016,7.50%,106.8,,,
DEU,Germany,House Price Index,2017,6.10%,111.6,,,
DEU,Germany,House Price Index,2018,6.60%,117.3,,,
DEU,Germany,House Price Index,2019,5.80%,122.5,,,
DEU,Germany,House Price Index,2020,7.80%,131.2,,,
ISL,Iceland,House Price Index,2011,4.60%,85.4,157.33,6086.82,43
ISL,Iceland,House Price Index,2012,6.90%,86.3,,,
ISL,Iceland,House Price Index,2013,5.80%,88,,,
ISL,Iceland,House Price Index,2014,8.40%,93.1,,,
ISL,Iceland,House Price Index,2015,8.20%,100,,,
ISL,Iceland,House Price Index,2016,9.80%,108.7,,,
ISL,Iceland,House Price Index,2017,19.50%,131.1,,,
ISL,Iceland,House Price Index,2018,8.20%,137.7,,,
ISL,Iceland,House Price Index,2019,4.40%,137.9,,,
ISL,Iceland,House Price Index,2020,6.40%,143.3,,,
ITA,Italy,House Price Index,2011,1.40%,124.7,-28.37,6884.43,31
ITA,Italy,House Price Index,2012,-2.50%,118.4,,,
ITA,Italy,House Price Index,2013,-6.50%,109.5,,,
ITA,Italy,House Price Index,2014,-4.70%,104.1,,,
ITA,Italy,House Price Index,2015,-3.80%,100,,,
ITA,Italy,House Price Index,2016,0.30%,100.1,,,
ITA,Italy,House Price Index,2017,-1.10%,98,,,
ITA,Italy,House Price Index,2018,-0.60%,96.6,,,
ITA,Italy,House Price Index,2019,-0.10%,95.9,,,
ITA,Italy,House Price Index,2020,1.90%,97.9,,,
JPN,Japan,House Price Index,2011,0.10%,97.2,68.73,8847.43,35
JPN,Japan,House Price Index,2012,-0.90%,96.9,,,
JPN,Japan,House Price Index,2013,1.70%,98.7,,,
JPN,Japan,House Price Index,2014,1.60%,98.2,,,
JPN,Japan,House Price Index,2015,2.40%,100,,,
JPN,Japan,House Price Index,2016,2.20%,102.6,,,
JPN,Japan,House Price Index,2017,2.50%,104.8,,,
JPN,Japan,House Price Index,2018,2.00%,106.1,,,
JPN,Japan,House Price Index,2019,1.60%,107.3,,,
JPN,Japan,House Price Index,2020,0.10%,107,,,
MEX,Mexico,House Price Index,2011,5.80%,95.7,61.47,2648.43,41
